Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oman,"24,370.49","32,509.03","44,899.11","50,555.27","54,091.34","50,655.33","33,119.37","27,851.79","32,168.66","44,196.99"
Pakistan,"18,259.86","21,299.37","26,152.58","26,383.31","25,051.31","26,675.91","23,883.31","22,022.10","22,872.39","25,036.44"
Palau,18.48,17.98,19.69,25.5,18.43,16.04,14.02,12.11,21.54,30.9
Panama,"7,052.37","7,238.12","9,251.87","9,349.46","9,245.79","7,479.56","6,884.42","5,743.31","7,315.63","7,491.86"
Papua New Guinea,"5,278.46","6,638.64","8,587.99","8,067.77","6,992.38","10,197.84","9,946.75","9,002.53","10,353.55","11,015.93"
Paraguay,"3,642.52","4,787.99","5,981.65","5,683.41","7,662.77","7,873.81","6,196.39","6,759.60","6,950.04","7,625.33"
Peru,"24,061.08","33,112.63","43,208.87","47,844.19","45,315.81","40,976.20","35,530.97","37,443.40","45,585.17","50,143.33"
Philippines,"53,279.61","73,348.05","74,913.03","75,242.04","73,518.18","80,298.18","76,801.30","76,506.30","88,580.00","95,331.20"
Poland,"125,095.58","148,885.07","177,410.52","175,538.02","192,703.59","205,674.34","190,352.35","199,507.10","226,294.04","250,733.17"
Portugal,"43,351.23","47,788.91","57,887.54","58,678.55","62,168.87","63,739.70","55,066.11","55,063.73","60,629.11","66,929.28"
Qatar,"46,732.09","68,484.44","110,343.07","126,670.21","130,295.61","124,753.69","77,107.46","55,793.83","62,929.98","82,522.71"
Romania,"38,426.95","46,965.96","59,137.35","55,321.56","62,442.68","69,382.37","60,547.00","63,866.25","71,769.92","82,260.18"
Russian Federation,"324,499.45","412,748.42","547,015.28","555,208.19","543,124.75","510,137.95","349,831.41","298,312.44","370,547.87","451,736.79"
Rwanda,201.67,230.58,387.03,369.33,402.5,438.11,437.81,489.51,646.3,"1,055.24"
Samoa,14.76,19.98,18.19,14,8.45,18.08,12.76,13.77,13.49,17.07
San Marino,82.16,94.35,73.94,75.38,100.54,53.05,66.42,77.62,61.49,60.03
Saudi Arabia,127.78,142.87,130.44,96.78,92.34,118.54,103.23,156.75,136.43,161.56
Senegal,"185,647.66","246,315.20","358,610.91","389,394.37","380,099.76","360,456.04","217,650.75","174,882.24","210,592.42","279,903.43"
"Serbia, Republic of","1,578.15","1,868.25","2,602.15","2,646.74","2,713.96","2,894.28","3,091.31","3,088.47","3,554.60","3,933.18"
Seychelles,"7,804.83","9,277.14","11,806.53","11,684.78","14,666.53","15,568.68","14,250.63","15,424.97","17,669.99","19,295.49"
Sierra Leone,394.63,406.65,411.46,460.57,587.8,545.04,513.61,594.09,664.2,704.99
